What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Married,Yes,Yes,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Financial services,English
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Construction,English
Male,40,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,Yes,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Female,30,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999",Inner Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Education,English
Female,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,No,NA,NA,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Media,English
Female,23,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Inner Queens,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
Female,27,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Southern Bronx,Yes,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Manufacturing,English
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Staying the same,NA,Getting better,I take the bus more frequently,Married,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Other,English
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Staten Island,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Married,Yes,Yes,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,English
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Real estate,Spanish
Male,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,Yes,A one family house attached to one or more houses,Own,Retired,NA,English
Female,43,Other,"Yes, Puerto Rican",Some high school,"$35,000 - $49,999",Staten Island,No,Staying the same,NA,Getting better,I take the bus more frequently,Married,Yes,No,A building with 50 or more apartments,Rent,Other,NA,English
Male,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,No,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Male,18,White/Caucasian,"Yes, Other",Some high school,"$15,000 - $24,999",Southern Bronx,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,Spanish
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),NA,English
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999",Inner Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Inner Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,27,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,English
Male,33,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Manufacturing,English
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Middle Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Middle Queens,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Own,Retired,NA,English
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,No,Staying the same,NA,Getting better,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Non-profit,English
Female,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Getting better,I use the subway the same amount,Getting better,I take the bus more frequently,Divorced,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Other,English
Female,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house detached from any other house,Own,Employed part time (working less than 30 hours per week),Non-profit,English
Female,27,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Southern Bronx,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Retail,NA
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Middle Queens,Yes,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Male,35,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,No,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Living in a committed partnership,Yes,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Construction,English
Male,38,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Construction,NA
Male,75,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Own,Retired,NA,NA
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 2 to 9 apartments,Own,Employed part time (working less than 30 hours per week),NA,NA
Female,43,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Southern Bronx,No,NA,NA,Getting worse,I take the bus the same amount,Single,Yes,No,A building with 50 or more apartments,Rent,Stay-at-home parent,NA,English
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Male,28,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Manhattan Core,Yes,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Retail,NA
Female,42,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
